,label,type
0,1A2F,1
1,1A2V,1
2,1A4S,1
3,1A4Z,1
4,1A65,1
5,1A71,1
6,1A7K,1
7,1A7U,1
8,1A80,1
9,1A88,1
10,1A8S,1
11,1A8U,1
12,1AA6,1
13,1ABN,1
14,1AC4,1
15,1AC8,1
16,1AD3,1
17,1ADC,1
18,1ADF,1
19,1ADG,1
20,1ADS,1
21,1AE1,1
22,1AE4,1
23,1AEB,1
24,1AED,1
25,1AEJ,1
26,1AEM,1
27,1AEN,1
28,1AEO,1
29,1AEQ,1
30,1AES,1
31,1AET,1
32,1AEV,1
33,1AFR,1
34,1AFS,1
35,1AFT,1
36,1AGN,1
37,1AH0,1
38,1AH4,1
39,1AHH,1
40,1AHI,1
41,1AHU,1
42,1AHZ,1
43,1AI9,1
44,1AK5,1
45,1AKD,1
46,1AL7,1
47,1AL8,1
48,1ALG,1
49,1AMO,1
50,1AN9,1
51,1AO8,1
52,1AOE,1
53,1AOG,1
54,1AOM,1
55,1AOQ,1
56,1AOR,1
57,1AOZ,1
58,1AP5,1
59,1AP6,1
60,1APX,1
61,1AR1,1
62,1AR4,1
63,1ARP,1
64,1ARU,1
65,1ARV,1
66,1ARX,1
67,1ARY,1
68,1AS6,1
69,1AS7,1
70,1AS8,1
71,1ASP,1
72,1ATJ,1
73,1AUP,1
74,1AV4,1
75,1AV8,1
76,1AVK,1
77,1AVL,1
78,1AXE,1
79,1AXG,1
80,1AZ1,1
81,1B0P,1
82,1B15,1
83,1B26,1
84,1B2R,1
85,1B37,1
86,1B3I,1
87,1B3O,1
88,1B4L,1
89,1B4T,1
90,1B4U,1
91,1B4V,1
92,1B5Q,1
93,1B5T,1
94,1B7G,1
95,1B82,1
96,1B85,1
97,1B8P,1
98,1B8Q,1
99,1B8S,1
100,1B8U,1
101,1BA3,1
102,1BA9,1
103,1BCC,1
104,1BCF,1
105,1BDM,1
106,1BEJ,1
107,1BEK,1
108,1BEM,1
109,1BEP,1
110,1BEQ,1
111,1BES,1
112,1BFR,1
113,1BG7,1
114,1BGJ,1
115,1BGP,1
116,1BGV,1
117,1BGY,1
118,1BHS,1
119,1BHY,1
120,1BI9,1
121,1BIQ,1
122,1BJ9,1
123,1BK0,1
124,1BKW,1
125,1BL9,1
126,1BMD,1
127,1BOZ,1
128,1BPW,1
129,1BRM,1
130,1BRO,1
131,1BSL,1
132,1BSM,1
133,1BSV,1
134,1BT1,1
135,1BT8,1
136,1BTO,1
137,1BU7,1
138,1BUC,1
139,1BUG,1
140,1BVA,1
141,1BVR,1
142,1BVU,1
143,1BW9,1
144,1BWC,1
145,1BWK,1
146,1BWS,1
147,1BX0,1
148,1BX1,1
149,1BXG,1
150,1BXS,1
151,1BXZ,1
152,1BZF,1
153,1BZL,1
154,1BZO,1
155,1C0I,1
156,1C0L,1
157,1C14,1
158,1C1D,1
159,1C1X,1
160,1C3V,1
161,1C4A,1
162,1C8I,1
163,1C9U,1
164,1C9W,1
165,1CB4,1
166,1CBJ,1
167,1CBO,1
168,1CC1,1
169,1CC2,1
170,1CC4,1
171,1CC6,1
172,1CCA,1
173,1CCB,1
174,1CCC,1
175,1CCG,1
176,1CCI,1
177,1CCJ,1
178,1CCL,1
179,1CCP,1
180,1CD2,1
181,1CDO,1
182,1CER,1
183,1CET,1
184,1CF2,1
185,1CF3,1
186,1CF9,1
187,1CHU,1
188,1CI0,1
189,1CJ2,1
190,1CJ3,1
191,1CJ4,1
192,1CJX,1
193,1CL0,1
194,1CL6,1
195,1CM7,1
196,1CMI,1
197,1CMJ,1
198,1CMN,1
199,1CMP,1
200,1CMQ,1
201,1CMT,1
202,1CNE,1
203,1CNZ,1
204,1COJ,1
205,1COY,1
206,1CP2,1
207,1CPD,1
208,1CPE,1
209,1CPF,1
210,1CPG,1
211,1CPO,1
212,1CPT,1
213,1CQE,1
214,1CRU,1
215,1CRW,1
216,1CVU,1
217,1CW1,1
218,1CW3,1
219,1CW4,1
220,1CW7,1
221,1CWU,1
222,1CXP,1
223,1CYD,1
224,1CYX,1
225,1CZ3,1
226,1D0C,1
227,1D0O,1
228,1D1G,1
229,1D1S,1
230,1D1T,1
231,1D1V,1
232,1D1W,1
233,1D1X,1
234,1D2U,1
235,1D2V,1
236,1D3G,1
237,1D3H,1
238,1D4C,1
239,1D4D,1
240,1D4E,1
241,1D4O,1
242,1D5L,1
243,1D6U,1
244,1D7B,1
245,1D7D,1
246,1D7L,1
247,1D7O,1
248,1D7W,1
249,1DAP,1
250,1DBV,1
251,1DC3,1
252,1DC4,1
253,1DC6,1
254,1DCC,1
255,1DCS,1
256,1DD7,1
257,1DDG,1
258,1DDI,1
259,1DDO,1
260,1DDR,1
261,1DDS,1
262,1DDX,1
263,1DE0,1
264,1DEH,1
265,1DF7,1
266,1DFG,1
267,1DFH,1
268,1DFI,1
269,1DG5,1
270,1DG7,1
271,1DG8,1
272,1DGB,1
273,1DGF,1
274,1DGG,1
275,1DGH,1
276,1DHF,1
277,1DHI,1
278,1DHR,1
279,1DHT,1
280,1DHY,1
281,1DII,1
282,1DIQ,1
283,1DIR,1
284,1DIS,1
285,1DJ1,1
286,1DJ5,1
287,1DJ7,1
288,1DJL,1
289,1DJN,1
290,1DLA,1
291,1DLI,1
292,1DLJ,1
293,1DLM,1
294,1DLR,1
295,1DLT,1
296,1DM6,1
297,1DM7,1
298,1DMH,1
299,1DMI,1
300,1DMJ,1
301,1DMR,1
302,1DMW,1
303,1DNL,1
304,1DNU,1
305,1DNW,1
306,1DO6,1
307,1DOB,1
308,1DOC,1
309,1DOD,1
310,1DOE,1
311,1DOH,1
312,1DPG,1
313,1DPS,1
314,1DQ3,1
315,1DQ8,1
316,1DQA,1
317,1DQK,1
318,1DR1,1
319,1DR2,1
320,1DR3,1
321,1DR4,1
322,1DR5,1
323,1DR8,1
324,1DRA,1
325,1DRB,1
326,1DRE,1
327,1DRF,1
328,1DRT,1
329,1DRU,1
330,1DRV,1
331,1DRY,1
332,1DS0,1
333,1DS1,1
334,1DS4,1
335,1DSE,1
336,1DSO,1
337,1DSP,1
338,1DSS,1
339,1DT6,1
340,1DTW,1
341,1DWW,1
342,1DWX,1
343,1DXL,1
344,1DXO,1
345,1DY7,1
346,1DYI,1
347,1DYR,1
348,1DZ4,1
349,1DZ6,1
350,1DZ8,1
351,1DZ9,1
352,1DZN,1
353,1E18,1
354,1E1D,1
355,1E1K,1
356,1E2U,1
357,1E39,1
358,1E3E,1
359,1E3I,1
360,1E3S,1
361,1E3T,1
362,1E5D,1
363,1E5H,1
364,1E5I,1
365,1E5Q,1
366,1E5R,1
367,1E5S,1
368,1E5V,1
369,1E60,1
370,1E61,1
371,1E63,1
372,1E64,1
373,1E6E,1
374,1E6U,1
375,1E6W,1
376,1E7M,1
377,1E7P,1
378,1E7Q,1
379,1E7S,1
380,1E7W,1
381,1E9O,1
382,1E9P,1
383,1E9Q,1
384,1E9V,1
385,1E9X,1
386,1EA1,1
387,1EB7,1
388,1EBE,1
389,1EBF,1
390,1EBU,1
